,pubchem,rt,rt_group
8713,15991663,603.8,0
30577,50789038,608.5,0
75632,91925099,613.2,0
67132,71792842,563.8,0
235,4780,94.6,0
72667,91905585,581.0,0
77525,124038770,569.4,0
4000,2904910,84.0,0
73585,91910563,602.0,0
22676,46338450,611.9,0
59330,53174730,567.8,0
77251,124037833,582.7,0
76753,110203909,576.6,0
72503,91905361,89.5,0
20791,45562627,603.2,0
3639,2321116,613.8,0
79690,124051605,594.6,0
7404,7183662,600.3,0
77848,124039920,599.4,0
40345,53040010,595.9,0
40530,53040746,608.9,0
1184,269657,621.5,0
79391,124049464,85.8,0
13702,20929415,557.3,0
64030,53196677,603.1,0
30989,50800048,607.5,0
78915,124046852,84.7,0
14084,20952021,569.5,0
46942,53117827,568.2,0
46643,53115963,604.6,0
69519,83279018,622.8,0
75531,91923303,598.8,0
18440,42111922,548.4,0
60949,53181034,598.3,0
13387,20919977,87.8,0
3908,2858609,585.0,0
68596,71841305,591.8,0
63776,53193919,546.2,0
35257,50847971,622.8,0
18240,40889200,571.2,0
51576,53144628,579.3,0
72564,91905445,596.8,0
9599,16450791,576.6,0
15868,22554633,590.4,0
60912,53180882,552.7,0
70851,87054678,572.8,0
24058,46389557,616.4,0
352,21109,577.7,0
289,5597,620.6,0
77263,124037875,82.2,0
63401,53192223,486.0,0
79402,124049487,93.3,0
16102,22583490,613.1,0
76626,110203004,575.5,0
46048,53109973,615.7,0
78576,124044314,575.1,0
20478,45503437,558.7,0
9134,16028734,601.7,0
30902,50797862,619.4,0
13509,20922983,564.5,0
56399,53165778,613.8,0
67946,71838402,607.8,0
69455,83275861,539.6,0
69237,75527483,81.4,0
37815,53015216,590.7,0
78125,124040939,621.7,0
16597,24321978,620.6,0
76167,110197570,588.4,0
57651,53170560,89.6,0
62759,53188352,613.8,0
66663,71434038,125.5,0
4688,3241103,571.9,0
1467,328865,100.7,0
49813,53137949,571.3,0
79350,124049285,91.0,0
203,4397,539.8,0
20127,45498215,596.4,0
66459,56765236,575.4,0
79335,124049112,605.0,0
9912,16585070,593.9,0
56462,53165933,564.6,0
1662,435524,584.4,0
6013,4809003,608.7,0
8672,15987535,558.9,0
12814,20899471,601.2,0
77447,124038598,609.6,0
30513,50788541,588.0,0
59382,53174877,618.4,0
64090,53197743,608.0,0
75722,110194762,576.7,0
35814,52416665,559.5,0
1676,448002,615.3,0
69452,83275840,556.6,0
22231,46295175,596.0,0
75652,91925470,612.1,0
35646,51207824,543.1,0
5219,3892422,555.1,0
55953,53164439,594.3,0
27645,49669901,603.0,0
54936,53158772,580.0,0
49797,53137896,602.9,0
21213,46110766,605.7,0
48690,53132134,615.5,0
44007,53087742,587.7,0
64759,53201714,618.0,0
1824,664214,614.9,0
36775,53008257,615.1,0
5133,3724953,590.7,0
13567,20925200,568.5,0
65851,53210364,594.8,0
65262,53203278,596.6,0
75619,91924384,583.6,0
65505,53206213,605.7,0
70873,87054759,580.8,0
59237,53174292,608.0,0
3698,2461939,589.5,0
63746,53193849,556.1,0
63874,53194540,599.6,0
12830,20901039,600.8,0
78588,124044417,92.6,0
1830,665914,591.5,0
37236,53012376,624.1,0
66759,71687155,562.8,0
75776,110195085,91.2,0
15700,22521720,616.7,0
77745,124039550,602.5,0
23458,46366498,581.7,0
78161,124041106,619.0,0
66264,56724382,538.7,0
76386,110200174,594.7,0
73416,91909422,604.3,0
876,224612,587.5,0
78759,124045519,597.9,0
62799,53188537,548.5,0
20449,45503003,586.6,0
75789,110195165,589.7,0
57758,53171491,571.3,0
63491,53192934,621.0,0
62306,53186270,587.0,0
8105,8487890,600.0,0
10971,17028258,590.4,0
63738,53193826,613.7,0
29973,50773006,607.1,0
19796,44123169,570.2,0
67958,71838444,88.5,0
2803,1190478,568.7,0
12806,20899233,622.5,0
54937,53158774,90.4,0
73651,91911016,563.8,0
62261,53185660,534.2,0
79410,124049507,588.7,0
69397,83273786,587.8,0
55055,53159479,620.9,0
22411,46327031,564.8,0
77623,124039138,591.7,0
2004,710700,588.2,0
8746,15995513,586.6,0
22018,46284785,610.7,0
78953,124046965,568.4,0
72455,91905294,567.3,0
27601,49669421,80.0,0
30613,50789393,599.1,0
37632,53014728,565.8,0
14241,20956397,608.8,0
66392,56764585,552.5,0
67344,71836096,583.2,0
30629,50789459,581.6,0
67128,71792816,579.0,0
1509,336486,602.6,0
62106,53184511,614.7,0
8990,16023463,589.7,0
72460,91905299,583.1,0
78889,124046760,571.7,0
13983,20947869,599.4,0
23454,46366166,624.9,0
8482,11442891,613.7,0
13755,20934073,598.1,0
161,3646,598.2,0
74229,91915034,581.2,0
52648,53147754,581.0,0
59331,53174732,595.5,0
72065,91904111,577.7,0
17800,30864241,623.4,0
75671,91925745,569.8,0
39793,53036533,608.0,0
26060,49660947,594.2,0
79235,124048542,607.5,0
80020,132337130,105.1,0
30683,50790828,594.6,0
9116,16028052,549.6,0
66497,56765684,594.8,0
48698,53132193,583.5,0
20980,45921797,83.9,0
75178,91920331,598.0,0
57003,53168160,87.1,0
72877,91905984,600.8,0
67468,71836315,561.4,0
68338,71839978,596.1,0
79360,124049369,594.6,0
36119,52992955,569.9,0
4899,3471451,88.9,0
67077,71791762,561.3,0
73744,91911500,583.8,0
78943,124046921,567.6,0
54898,53158655,599.9,0
3021,1494734,612.5,0
75399,91922538,575.3,0
51880,53145316,615.4,0
45640,53106172,623.8,0
6810,6458868,590.8,0
75472,91922967,553.3,0
4011,2910421,564.7,0
34736,50844523,611.1,0
23333,46360012,595.9,0
1402,318461,90.5,0
5208,3864715,611.6,0
76114,110197081,91.7,0
56519,53166051,570.1,0
30522,50788595,575.9,0
70196,87051684,611.3,0
5168,3783958,83.8,0
16507,24220852,578.6,0
25407,47156864,565.4,0
79507,124050392,521.3,0
61032,53181596,602.8,0
59378,53174861,610.5,0
16034,22580782,616.5,0
18538,42266413,583.3,0
8718,15992032,590.3,0
14571,20964803,581.5,0
7476,7207169,523.7,0
10302,16853187,563.9,0
30093,50781314,620.7,0
2207,765946,82.7,0
63707,53193755,175.9,0
63020,53189519,566.6,0
63889,53194624,614.6,0
12882,20906674,617.4,0
22279,46299047,613.5,0
3806,2770656,590.7,0
78129,124040945,86.3,0
65010,53202434,608.7,0
38170,53016550,590.4,0
40696,53041069,564.1,0
6023,4847663,547.9,0
55862,53164011,597.5,0
1649,419029,589.3,0
62231,53185410,604.2,0
21342,46260609,578.9,0
59393,53174892,613.7,0
47161,53118648,599.2,0
49778,53137813,584.7,0
10102,16799124,622.3,0
51925,53145460,608.7,0
56891,53167785,605.7,0
56298,53165470,603.0,0
78826,124046232,89.2,0
75459,91922863,91.7,0
37386,53014023,614.9,0
23491,46367696,580.9,0
72508,91905368,85.8,0
79938,124075347,621.2,0
63096,53189732,574.3,0
75554,91923364,567.6,0
36830,53008811,603.4,0
67850,71838091,598.4,0
25093,46396504,591.6,0
78344,124042701,575.2,0
32001,50826354,576.3,0
60831,53180165,591.4,0
63005,53189500,542.5,0
19474,44088842,82.6,0
44182,53089594,587.8,0
20371,45501667,598.2,0
56380,53165735,554.2,0
5491,4194405,580.9,0
68638,71841549,588.5,0
75090,91919714,93.1,0
80001,131632527,583.6,0
9259,16033953,592.3,0
62125,53184545,592.0,0
6035,4873947,566.4,0
25386,47099957,541.6,0
20716,45528737,617.2,0
66763,71687163,574.0,0
14711,20970455,591.9,0
14107,20952150,577.0,0
63405,53192242,576.6,0
79245,124048563,553.0,0
22209,46291468,582.6,0
61805,53183194,87.8,0
66318,56724901,536.6,0
57627,53170506,558.7,0
18541,42266756,571.6,0
52073,53146168,568.7,0
76309,110198873,553.1,0
38390,53017403,604.5,0
66215,56724070,544.1,0
40270,53039644,589.6,0
23930,46387380,622.1,0
71033,91653849,618.1,0
23179,46353310,606.9,0
74255,91915088,86.7,0
11534,17653427,606.9,0
67369,71836130,572.0,0
3610,2281058,620.4,0
79419,124049526,556.1,0
25962,49660388,615.7,0
79502,124050381,87.1,0
25475,47935436,561.0,0
7134,6623164,614.0,0
64808,53201791,598.2,0
75533,91923305,607.2,0
75908,110196091,88.3,0
65819,53210248,566.6,0
48632,53131964,606.0,0
13605,20925506,612.7,0
38505,53018039,593.7,0
63881,53194583,560.2,0
9772,16487397,590.0,0
76257,110198098,508.3,0
47535,53122708,607.2,0
15575,22445486,585.6,0
40912,53043967,599.8,0
29589,50753902,562.8,0
76311,110198894,552.4,0
67007,71789072,102.7,0
48496,53131379,591.2,0
28437,49677189,580.2,0
20074,45497575,571.7,0
23011,46349896,581.8,0
64943,53202322,597.9,0
20842,45584218,534.3,0
62007,53183797,609.7,0
76171,110197652,576.4,0
16841,25285050,593.7,0
65061,53202566,575.6,0
36558,53006156,593.0,0
72775,91905758,594.3,0
64566,53201108,586.3,0
31282,50806913,584.8,0
79455,124049924,554.5,0
60838,53180178,565.5,0
78778,124045591,607.0,0
7219,7061238,94.6,0
51849,53145269,566.2,0
22553,46333072,92.4,0
46035,53109932,612.4,0
27747,49670991,591.5,0
72518,91905384,552.5,0
63623,53193235,618.6,0
7282,7086347,584.4,0
41071,53047628,612.5,0
37012,53011330,584.5,0
41223,53051105,92.2,0
72495,91905353,542.1,0
38119,53016353,606.2,0
4035,2918426,588.9,0
13143,20912258,590.6,0
35820,52416943,559.0,0
15558,22433805,92.3,0
55939,53164418,595.2,0
77240,124037745,568.2,0
75353,91922016,509.5,0
76186,110197788,573.9,0
27600,49669417,82.6,0
64725,53201661,602.9,0
63648,53193511,556.5,0
64715,53201648,583.8,0
67004,71788505,554.0,0
2499,961631,604.7,0
58193,53172430,610.0,0
51429,53144023,601.8,0
20427,45502512,565.8,0
63277,53191026,555.4,0
69614,86820470,588.5,0
51844,53145264,613.6,0
36776,53008259,623.0,0
75318,91921583,594.5,0
73489,91909807,600.0,0
14364,20960657,600.4,0
65091,53202658,601.1,0
12546,20881582,614.3,0
32464,50831526,624.5,0
28722,49685776,598.0,0
56998,53168126,81.4,0
23503,46375437,601.8,0
76617,110202981,600.1,0
23787,46383407,609.8,0
20116,45497932,588.0,0
47155,53118641,566.8,0
13192,20912341,589.2,0
77066,110876242,584.7,0
55011,53159238,569.5,0
20936,45837148,605.6,0
62039,53184264,122.6,0
30175,50784045,579.3,0
61793,53183182,92.4,0
1111,256816,96.0,0
938,233296,614.1,0
3625,2302369,610.9,0
79067,124047901,612.9,0
53155,53150182,619.9,0
25507,49658046,575.5,0
11289,17257433,622.6,0
6354,5282440,611.5,0
28338,49676809,583.8,0
64791,53201763,90.7,0
8502,11565518,89.7,0
21223,46191454,605.2,0
74419,91915519,580.4,0
73777,91911877,595.5,0
73927,91913763,618.3,0
22009,46284764,600.7,0
54810,53158273,573.9,0
37532,53014434,580.3,0
38309,53016958,547.9,0
55125,53159892,605.6,0
1834,666478,591.1,0
3523,2159458,563.2,0
35296,50848157,617.6,0
39009,53022880,612.1,0
73573,91910463,583.7,0
67830,71838048,84.8,0
4410,3091621,571.0,0
10470,16889389,620.7,0
78866,124046645,83.8,0
4811,3338180,595.8,0
22257,46297910,621.3,0
413,40010,89.6,0
75465,91922907,557.1,0
31154,50804038,570.3,0
67273,71835935,604.0,0
56931,53167899,600.9,0
31744,50822816,524.3,0
66501,56765759,623.6,0
75275,91921213,542.1,0
72856,91905948,620.5,0
7588,7309559,616.5,0
28411,49677090,89.9,0
12737,20896329,599.0,0
70092,87051488,566.5,0
59494,53175399,600.9,0
76576,110202774,87.5,0
51908,53145389,580.9,0
74251,91915079,549.8,0
22304,46319072,624.3,0
62826,53188608,536.5,0
66261,56724358,557.5,0
64148,53198995,540.3,0
13691,20929184,605.7,0
56309,53165544,611.2,0
369,25051,89.5,0
78906,124046807,566.4,0
77647,124039272,598.7,0
78589,124044418,583.9,0
63164,53190044,623.6,0
63080,53189639,83.3,0
22205,46291451,585.0,0
37861,53015357,590.8,0
74518,91915929,557.2,0
23265,46358173,587.3,0
36572,53006180,596.1,0
19359,44063620,543.2,0
15750,22522709,598.0,0
45384,53102466,567.4,0
79755,124052097,498.3,0
19447,44073005,621.2,0
25437,47338049,544.5,0
69534,83284476,88.1,0
78924,124046868,570.9,0
75403,91922546,609.9,0
3551,2201427,549.3,0
66531,56766037,565.2,0
10474,16889829,524.8,0
7406,7183781,590.7,0
10909,17019070,624.2,0
59424,53175016,569.5,0
2100,735620,578.5,0
74076,91914414,618.5,0
25952,49660350,593.7,0
30103,50781772,617.6,0
4322,2988690,622.9,0
75023,91919077,583.0,0
22730,46340186,615.6,0
1148,264115,88.9,0
68386,71840062,615.7,0
21472,46270929,84.3,0
79279,124048734,87.2,0
38216,53016642,575.3,0
75304,91921509,560.5,0
52147,53146513,554.0,0
73729,91911444,608.0,0
79808,124053555,76.9,0
60947,53181014,603.2,0
55103,53159784,620.8,0
29854,50767088,611.2,0
63479,53192904,560.1,0
76407,110200613,577.4,0
41670,53056606,599.6,0
20039,45497093,101.8,0
44576,53095865,548.7,0
57637,53170526,553.3,0
28967,49745578,79.9,0
8652,15761651,583.8,0
78349,124042713,583.0,0
67829,71838045,574.1,0
40105,53039320,611.2,0
79193,124048375,526.3,0
29177,50743484,602.1,0
21883,46282079,621.3,0
75912,110196118,90.3,0
78239,124042050,587.1,0
8473,11364421,624.3,0
11053,17155559,89.8,0
71418,91888568,562.1,0
64993,53202402,86.3,0
49378,53136094,617.9,0
66315,56724887,618.1,0
63683,53193633,596.2,0
74545,91916018,527.5,0
56778,53167108,579.1,0
62888,53188722,605.5,0
67047,71790485,598.4,0
6838,6461345,569.4,0
65046,53202522,593.0,0
53057,53149437,609.4,0
699,125819,587.2,0
16012,22579568,81.0,0
18703,42648462,85.4,0
21525,46274517,586.9,0
51817,53145221,554.6,0
14373,20960719,90.0,0
72259,91904643,595.4,0
55104,53159790,569.9,0
9556,16431897,565.8,0
78100,124040666,590.6,0
72143,91904381,552.9,0
79341,124049210,576.3,0
54225,53156014,574.6,0
76175,110197685,583.4,0
78571,124044296,571.3,0
76037,110196661,609.5,0
79536,124050620,617.6,0
7143,6624012,595.3,0
70999,90489289,605.6,0
62135,53184649,567.1,0
53796,53154939,609.6,0
36802,53008418,618.9,0
18434,42111766,578.9,0
61270,53182469,596.8,0
79359,124049368,579.1,0
79987,124078542,588.0,0
14188,20954916,599.8,0
70421,87052650,615.0,0
40958,53044136,559.8,0
1245,281701,582.9,0
38093,53016241,603.8,0
79551,124050706,582.6,0
76208,110197904,85.5,0
71383,91888297,578.4,0
29233,50745300,613.3,0
30895,50797614,589.6,0
24065,46389575,609.7,0
11248,17236173,89.2,0
64957,53202340,549.4,0
23877,46385154,584.6,0
62823,53188594,603.3,0
77136,110876630,520.4,0
78216,124041560,84.9,0
62539,53187293,584.0,0
48504,53131430,559.1,0
73772,91911678,578.4,0
26261,49661702,578.0,0
10983,17029338,573.4,0
19777,44123131,613.2,0
14370,20960714,85.7,0
68357,71840031,600.8,0
20073,45497557,571.2,0
59439,53175109,83.1,0
19337,44059166,90.8,0
77444,124038590,617.6,0
67045,71790407,563.7,0
23224,46354772,598.3,0
9603,16451129,565.9,0
37710,53014913,604.3,0
8998,16023495,613.8,0
9299,16188470,519.9,0
76469,110201350,621.8,0
23402,46364372,573.7,0
20543,45504540,576.6,0
57018,53168200,550.3,0
62374,53187052,595.7,0
14080,20952000,589.8,0
64173,53199652,571.1,0
18180,40012448,610.8,0
21780,46278880,619.0,0
27393,49667921,553.0,0
1686,461802,611.1,0
62972,53189270,89.8,0
79706,124051677,607.3,0
14397,20960816,88.8,0
61814,53183204,599.8,0
56896,53167809,85.0,0
79408,124049503,572.0,0
17753,30859736,575.6,0
202,4381,80.2,0
77253,124037839,89.2,0
63441,53192560,600.9,0
36085,52992550,86.7,0
20375,45501685,551.5,0
63425,53192436,491.0,0
51857,53145280,588.4,0
36134,52993077,610.3,0
65411,53204176,72.2,0
78661,124044912,590.9,0
36240,53002994,562.8,0
25423,47236071,597.5,0
14110,20952185,88.7,0
17025,26644498,551.0,0
79256,124048627,612.2,0
75366,91922178,596.6,0
18378,42100511,578.9,0
23637,46379874,588.2,0
5906,4723452,601.7,0
11235,17236025,603.0,0
75335,91921802,530.6,0
56306,53165532,87.0,0
73888,91913594,589.5,0
44001,53087653,585.7,0
20431,45502600,586.6,0
63440,53192550,583.9,0
67123,71792771,88.5,0
1805,658735,81.9,0
16623,24761197,545.5,0
39973,53037427,600.9,0
6090,4908514,591.4,0
77133,110876517,595.4,0
12175,19257242,533.0,0
45439,53103463,619.4,0
1525,340233,601.3,0
79703,124051661,87.6,0
66283,56724508,620.5,0
5992,4729538,574.4,0
7524,7244645,545.5,0
65025,53202477,599.1,0
30069,50778369,587.7,0
72985,91906204,603.5,0
3091,1554307,617.1,0
1326,297284,618.6,0
18624,42443231,597.7,0
78203,124041483,85.9,0
62283,53185778,570.7,0
67012,71789112,562.9,0
56320,53165570,563.6,0
1427,323587,523.1,0
346,17654,564.9,0
24060,46389565,589.2,0
67245,71835728,620.5,0
59375,53174846,594.4,0
4926,3490658,570.7,0
1095,255082,88.3,0
6243,5120327,562.1,0
77660,124039324,566.4,0
49417,53136135,611.2,0
51829,53145248,597.4,0
43991,53087562,585.7,0
48540,53131748,591.5,0
48814,53133128,611.7,0
75310,91921534,91.3,0
14514,20963162,588.9,0
71545,91889045,622.0,0
17984,36795635,601.2,0
28337,49676805,603.9,0
11974,18571041,585.4,0
75068,91919646,595.1,0
79540,124050680,547.0,0
70448,87052720,581.0,0
64806,53201789,595.3,0
79890,124073644,593.3,0
39033,53023741,589.3,0
77605,124039085,86.3,0
28294,49676411,614.4,0
15597,22512206,622.2,0
79479,124050043,90.4,0
75851,110195907,97.2,0
48998,53133357,593.5,0
67378,71836141,597.4,0
60764,53179968,569.9,0
48994,53133352,613.8,0
64096,53197778,617.6,0
6594,5383779,90.1,0
36391,53004567,606.6,0
48714,53132266,597.8,0
16530,24277929,591.7,0
40319,53039862,623.7,0
47292,53120863,601.5,0
78680,124044980,97.0,0
51919,53145416,613.2,0
78757,124045512,593.4,0
35803,52416569,583.9,0
73527,91910042,573.9,0
15872,22554753,586.6,0
9337,16194771,605.4,0
74487,91915761,575.7,0
73738,91911488,605.8,0
10519,16896280,86.0,0
76619,110202985,600.4,0
40338,53039957,554.3,0
14715,20971252,609.3,0
22079,46286582,612.9,0
76586,110202827,543.9,0
27703,49670690,608.5,0
18883,43063964,621.0,0
78773,124045576,617.6,0
79453,124049922,101.8,0
78835,124046327,591.4,0
46053,53109980,597.9,0
38920,53021400,609.3,0
30434,50787850,571.9,0
34912,50845529,607.9,0
54982,53159068,624.9,0
52014,53145718,558.9,0
12023,18575455,603.6,0
68759,71842460,81.4,0
77121,110876478,613.0,0
4142,2947814,583.4,0
73961,91913807,620.4,0
72450,91905287,574.4,0
79779,124052791,591.0,0
78043,124040527,616.5,0
55358,53161519,604.7,0
27358,49667818,549.9,0
62585,53187378,586.2,0
69350,82569125,554.8,0
76192,110197809,565.8,0
67160,71793944,574.4,0
14087,20952031,567.6,0
40055,53039148,619.5,0
42505,53069967,624.3,0
59323,53174710,600.5,0
65796,53209824,589.0,0
5904,4723434,97.9,0
70630,87053321,82.0,0
63725,53193795,88.7,0
75210,91920514,618.3,0
51987,53145619,587.2,0
37429,53014190,579.9,0
61960,53183519,605.0,0
52788,53148306,599.5,0
48498,53131413,555.1,0
78612,124044657,556.4,0
39186,53029196,620.8,0
37249,53012492,623.7,0
76163,110197562,610.1,0
65353,53203574,612.8,0
28536,49677587,554.6,0
78098,124040663,570.4,0
23768,46383299,578.9,0
61891,53183320,605.4,0
42330,53068446,585.6,0
16476,23884468,581.7,0
28561,49677669,550.4,0
74176,91914766,610.0,0
3799,2770262,609.8,0
78672,124044944,87.5,0
74341,91915235,618.7,0
64804,53201787,603.4,0
78564,124044272,95.1,0
17784,30861546,624.3,0
1886,684639,578.8,0
21482,46272399,582.9,0
76197,110197819,575.3,0
78628,124044720,560.4,0
10490,16892909,599.5,0
16606,24615677,597.3,0
72896,91906013,624.7,0
14100,20952073,581.6,0
74031,91914325,599.7,0
77113,110876466,604.7,0
62062,53184324,600.0,0
38491,53018011,622.0,0
62286,53185783,589.5,0
45937,53107556,609.6,0
11627,18105932,585.8,0
51831,53145250,593.8,0
75116,91919786,594.3,0
72456,91905295,597.1,0
38221,53016652,613.6,0
28555,49677651,615.3,0
58737,53173466,595.9,0
67571,71836974,623.3,0
23200,46353570,578.9,0
2099,735513,591.7,0
67810,71837971,590.3,0
3250,1843698,622.9,0
66878,71780313,574.9,0
61772,53183159,89.5,0
79500,124050373,87.1,0
61047,53181766,599.6,0
57029,53168230,590.9,0
75030,91919391,578.3,0
62733,53188074,573.1,0
62015,53184179,577.6,0
52753,53147962,92.1,0
62976,53189318,607.4,0
22647,46335947,90.3,0
41126,53048569,574.7,0
17479,30532574,569.0,0
12674,20891964,605.2,0
63085,53189670,556.4,0
76195,110197815,544.3,0
79429,124049609,607.5,0
76692,110203249,620.8,0
5898,4722965,624.2,0
63408,53192286,558.9,0
22203,46291445,590.7,0
57635,53170520,619.8,0
17727,30850613,573.3,0
10164,16808790,616.7,0
23060,46349997,593.9,0
12383,20859489,586.8,0
56722,53166950,623.7,0
68185,71839225,580.1,0
69454,83275854,554.5,0
6427,5310282,86.0,0
9575,16443336,596.8,0
4304,2987436,566.3,0
5798,4572597,577.3,0
57638,53170527,87.9,0
78690,124045038,95.9,0
79663,124051488,557.5,0
76674,110203194,583.7,0
11786,18566445,618.5,0
51989,53145628,558.8,0
46469,53114108,619.8,0
66557,56773375,579.6,0
73390,91909056,603.9,0
77131,110876511,573.4,0
18409,42110423,588.7,0
38109,53016272,94.7,0
6766,6420052,95.3,0
7246,7066951,595.5,0
12549,20882581,607.8,0
51906,53145386,571.8,0
64521,53200894,94.1,0
31279,50806835,597.0,0
12562,20883479,614.5,0
6796,6457899,594.3,0
10467,16888316,546.9,0
70871,87054753,574.4,0
60478,53179379,616.4,0
56847,53167263,592.6,0
52091,53146330,581.8,0
67949,71838413,114.2,0
73561,91910379,594.1,0
22266,46298150,609.2,0
79376,124049415,98.2,0
66532,56766053,539.3,0
73570,91910442,86.4,0
5332,4067940,586.1,0
62115,53184526,604.2,0
10322,16863760,84.8,0
76620,110202989,604.8,0
61276,53182488,575.1,0
22877,46346778,609.0,0
7514,7222746,618.7,0
74323,91915199,604.7,0
21246,46248007,599.0,0
1307,294530,567.4,0
48702,53132237,601.4,0
63488,53192926,89.2,0
32469,50831602,621.8,0
62989,53189453,496.4,0
67049,71790494,617.6,0
55026,53159301,591.6,0
78859,124046630,86.3,0
79400,124049485,89.3,0
18418,42110951,622.7,0
20843,45584257,608.0,0
32561,50832835,611.2,0
50291,53139609,86.2,0
6196,5077450,577.1,0
39376,53031449,595.1,0
62810,53188566,595.8,0
77552,124038861,597.1,0
78225,124041703,581.4,0
909,229296,617.3,0
7077,6616820,584.1,0
28956,49744980,85.7,0
26614,49664215,622.4,0
23488,46367678,664.7,1
65151,53202890,661.4,1
73420,91909454,681.7,1
65901,54600469,694.6,1
45465,53104058,649.9,1
56225,53165201,647.3,1
34745,50844556,669.7,1
18911,43832944,671.0,1
77733,124039513,637.8,1
14503,20963128,690.4,1
59451,53175160,670.8,1
22228,46295118,646.7,1
73529,91910059,643.9,1
32976,50835327,673.6,1
45913,53107456,635.6,1
73033,91906307,655.2,1
52986,53149104,679.4,1
28161,49674975,647.6,1
59285,53174496,639.8,1
55926,53164379,647.8,1
12944,20908779,648.8,1
65603,53207726,643.1,1
69424,83275668,640.4,1
25253,46740493,670.8,1
59874,53177069,686.5,1
52016,53145727,659.6,1
79242,124048555,656.5,1
51199,53143470,660.8,1
51927,53145466,655.8,1
78828,124046242,637.2,1
28441,49677199,676.0,1
78003,124040378,682.1,1
47625,53123175,670.1,1
6072,4901039,660.1,1
956,235437,634.5,1
63705,53193742,696.1,1
74174,91914764,692.1,1
47191,53119637,679.6,1
54522,53157032,650.9,1
10216,16819722,682.1,1
79519,124050538,634.7,1
1404,319257,629.1,1
38286,53016882,666.8,1
11666,18559202,683.3,1
28092,49674279,629.8,1
3319,1976741,668.5,1
79257,124048630,625.2,1
62689,53187904,680.2,1
25732,49659419,646.4,1
41090,53047695,675.6,1
28284,49676328,695.1,1
7999,7593220,646.6,1
941,233815,669.6,1
72880,91905988,657.5,1
75996,110196578,646.2,1
56364,53165694,661.0,1
35876,52417474,667.1,1
9260,16033954,647.6,1
22410,46327024,629.4,1
35001,50846154,677.7,1
3304,1953982,639.7,1
10577,16919672,668.8,1
53755,53154120,690.5,1
62889,53188723,692.8,1
35188,50847738,677.0,1
5214,3883451,678.6,1
24463,46391316,688.0,1
71492,91888930,641.2,1
20187,45499280,694.3,1
9275,16038120,693.5,1
51264,53143625,637.1,1
9207,16031897,672.1,1
24329,46391142,645.8,1
59298,53174566,645.4,1
27047,49666886,677.1,1
13248,20912421,626.9,1
12419,20865487,664.0,1
64583,53201155,648.7,1
40295,53039744,690.2,1
